DATE,DEXUSEU
2019-12-31,1.1227
2020-01-02,1.1166
2020-01-03,1.1173
2020-01-06,1.1187
2020-01-07,1.1138
2020-01-08,1.1117
2020-01-09,1.1106
2020-01-10,1.1119
2020-01-13,1.1138
2020-01-14,1.113
2020-01-15,1.1159999999999999
2020-01-16,1.1131
2020-01-17,1.1093
2020-01-21,1.1096
2020-01-22,1.1085
2020-01-23,1.1041
2020-01-24,1.1026
2020-01-27,1.1019
2020-01-28,1.1008
2020-01-29,1.1004
2020-01-30,1.1032
2020-01-31,1.1082
2020-02-03,1.1062
2020-02-04,1.1043
2020-02-05,1.1006
2020-02-06,1.0979
2020-02-07,1.095
2020-02-10,1.0916
2020-02-11,1.0917
2020-02-12,1.0893
2020-02-13,1.0848
2020-02-14,1.0839
2020-02-18,1.0815
2020-02-19,1.0794
2020-02-20,1.0797
2020-02-21,1.0855
2020-02-24,1.0857
2020-02-25,1.0868
2020-02-26,1.0887
2020-02-27,1.0977
2020-02-28,1.1001
2020-03-02,1.1164
2020-03-03,1.1175
2020-03-04,1.113
2020-03-05,1.1202
2020-03-06,1.1319
2020-03-09,1.1420000000000001
2020-03-10,1.1342
2020-03-11,1.128
2020-03-12,1.1081
2020-03-13,1.1066
2020-03-16,1.1139
2020-03-17,1.0971
2020-03-18,1.0833
2020-03-19,1.0699
2020-03-20,1.0682
2020-03-23,1.0759999999999998
2020-03-24,1.0794
2020-03-25,1.0835
2020-03-26,1.1025
2020-03-27,1.1059
2020-03-30,1.1018
2020-03-31,1.1016
2020-04-01,1.0934
2020-04-02,1.0862
2020-04-03,1.0797
2020-04-06,1.0808
2020-04-07,1.0886
2020-04-08,1.0864
2020-04-09,1.0931
2020-04-10,1.0951
2020-04-13,1.0906
2020-04-14,1.0971
2020-04-15,1.0909
2020-04-16,1.084
2020-04-17,1.0883
2020-04-20,1.0874
2020-04-21,1.0854
2020-04-22,1.0829
2020-04-23,1.0815
2020-04-24,1.0798
2020-04-27,1.0829
2020-04-28,1.0836
2020-04-29,1.0853
2020-04-30,1.0934
2020-05-01,1.0998
2020-05-04,1.0911
2020-05-05,1.0844
2020-05-06,1.0806
2020-05-07,1.0815
2020-05-08,1.0854
2020-05-11,1.0818
2020-05-12,1.0864
2020-05-13,1.0837
2020-05-14,1.08
2020-05-15,1.0816
2020-05-18,1.0904
2020-05-19,1.0937
2020-05-20,1.0979999999999999
2020-05-21,1.0953
2020-05-22,1.0894
2020-05-26,1.097
2020-05-27,1.0969
2020-05-28,1.1069
2020-05-29,1.1107
2020-06-01,1.1123
2020-06-02,1.1166
2020-06-03,1.1246
2020-06-04,1.1322
2020-06-05,1.1297
2020-06-08,1.1293
2020-06-09,1.1348
2020-06-10,1.1355
2020-06-11,1.1378
2020-06-12,1.1253
2020-06-15,1.127
2020-06-16,1.1259
2020-06-17,1.1219
2020-06-18,1.1216
2020-06-19,1.1189
2020-06-22,1.126
2020-06-23,1.1322
2020-06-24,1.1272
2020-06-25,1.1221
2020-06-26,1.1215
2020-06-29,1.1237
2020-06-30,1.1237
2020-07-01,1.1259
2020-07-02,1.1237
2020-07-06,1.1307
2020-07-07,1.1299
2020-07-08,1.1329
2020-07-09,1.1298
2020-07-10,1.1318
2020-07-13,1.1364
2020-07-14,1.1406
2020-07-15,1.1406
2020-07-16,1.1433
2020-07-17,1.1438
2020-07-20,1.1442
2020-07-21,1.1495
2020-07-22,1.1587
2020-07-23,1.1623
2020-07-24,1.1635
2020-07-27,1.175
2020-07-28,1.1733
2020-07-29,1.177
2020-07-30,1.1791
2020-07-31,1.1822
2020-08-03,1.175
2020-08-04,1.1766
2020-08-05,1.1898
2020-08-06,1.1856
2020-08-07,1.1776
2020-08-10,1.1756
2020-08-11,1.1764
2020-08-12,1.1796
2020-08-13,1.1818
2020-08-14,1.1833
2020-08-17,1.1869
2020-08-18,1.1928
2020-08-19,1.1898
2020-08-20,1.1862
2020-08-21,1.1775
2020-08-24,1.1803
2020-08-25,1.1818
2020-08-26,1.1813
2020-08-27,1.1824
2020-08-28,1.1901
2020-08-31,1.195
2020-09-01,1.1949
2020-09-02,1.1840000000000002
2020-09-03,1.1832
2020-09-04,1.182
2020-09-08,1.1789
2020-09-09,1.181
2020-09-10,1.188
2020-09-11,1.1831
2020-09-14,1.1874
2020-09-15,1.1846
2020-09-16,1.1835
2020-09-17,1.1823
2020-09-18,1.1857
