date;div
30/08/2017;0.03657
28/07/2017;0.03657
29/06/2017;0.03657
30/05/2017;0.03657
27/04/2017;0.03657
30/03/2017;0.03657
27/02/2017;0.03657
30/01/2017;0.03657
29/12/2016;0.03657
29/11/2016;0.03657
28/10/2016;0.03657
29/09/2016;0.03657
30/08/2016;0.03657
28/07/2016;0.03657
29/06/2016;0.03657
27/05/2016;0.03657
28/04/2016;0.03657
30/03/2016;0.03657
26/02/2016;0.03657
28/01/2016;0.03657
30/12/2015;0.03657
27/11/2015;0.03657
29/10/2015;0.03657
29/09/2015;0.03657
27/08/2015;0.03657
30/07/2015;0.03657
29/06/2015;0.03657
28/05/2015;0.03657
29/04/2015;0.03657
30/03/2015;0.03657
26/02/2015;0.03657
29/01/2015;0.03657
30/12/2014;0.03657
26/11/2014;0.03657
30/10/2014;0.03657
29/09/2014;0.03657
28/08/2014;0.03657
30/07/2014;0.03657
27/06/2014;0.03657
28/05/2014;0.03657
29/04/2014;0.03657
28/03/2014;0.03657
27/02/2014;0.03657
29/01/2014;0.03657
