date;PimcoINC;JupiterDB;MG_OI
2014-01-29;0.3476235741444867;;
2014-02-27;0.3476235741444867;;
2014-03-28;0.3476235741444867;;
2014-03-31;;1.4041780199818348;
2014-04-29;0.3476235741444867;;
2014-05-28;0.3476235741444867;;
2014-05-31;;;1.250601719197708
2014-06-27;0.3476235741444867;;
2014-06-30;;1.0817438692098094;
2014-07-30;0.3476235741444867;;
2014-08-28;0.3476235741444867;;
2014-09-29;0.3476235741444867;;
2014-09-30;;0.9028156221616713;
2014-10-30;0.3476235741444867;;
2014-11-26;0.3476235741444867;;
2014-11-30;;;1.2962750716332379
2014-12-30;0.3476235741444867;;
2014-12-31;;0.8419618528610355;
2015-01-29;0.3476235741444867;;
2015-02-26;0.3476235741444867;;
2015-03-30;0.3476235741444867;;
2015-03-31;;0.7801998183469574;
2015-04-29;0.3476235741444867;;
2015-05-28;0.3476235741444867;;
2015-05-29;;;1.150808022922636
2015-06-29;0.3476235741444867;;
2015-06-30;;0.7002724795640328;
2015-07-30;0.3476235741444867;;
2015-08-27;0.3476235741444867;;
2015-09-29;0.3476235741444867;;
2015-09-30;;1.0635785649409628;
2015-10-29;0.3476235741444867;;
2015-11-27;0.3476235741444867;;
2015-11-30;;;0.9069111747851003
2015-12-30;0.3476235741444867;;
2015-12-31;;0.7747502270663035;
2016-01-28;0.3476235741444867;;
2016-02-26;0.3476235741444867;;
2016-03-30;0.3476235741444867;;
2016-03-31;;0.7084468664850136;
2016-04-28;0.3476235741444867;;
2016-05-27;0.3476235741444867;;
2016-05-31;;;1.0990659025787965
2016-06-29;0.3476235741444867;;
2016-06-30;;0.712079927338783;
2016-07-28;0.3476235741444867;;
2016-08-30;0.3476235741444867;;
2016-09-29;0.3476235741444867;;
2016-09-30;;0.6875567665758402;
2016-10-28;0.3476235741444867;;
2016-11-29;0.3476235741444867;;
2016-11-30;;;1.5306074498567335
2016-12-29;0.3476235741444867;;
2016-12-30;;0.7184377838328793;
2017-01-30;0.3476235741444867;;
2017-02-27;0.3476235741444867;;
2017-03-30;0.3476235741444867;;
2017-03-31;;0.6430517711171663;
2017-04-27;0.3476235741444867;;
2017-05-30;0.3476235741444867;;
2017-05-31;;;1.8480057306590258
2017-06-29;0.3476235741444867;;
2017-06-30;;0.6121707538601272;
2017-07-28;0.3476235741444867;;
2017-08-30;0.3476235741444867;;
